ZPN,Symbol,Footprint,MPN,Manufacturer,Description,DCR,Current Rating,"""Impedance @ Frequency""",Max Operating Temperature,Min Operating Temperature,Mounting Type,Package,Pin Count
ZPN-0000156-3,Zelos_Standard:Ferrite,Zelos:INDC2012X14N,MPZ2012S221AT000,TDK,"IND,FER,220OHM,3A,0805",0R04,3A,220R,125°C,-55°C,SMT,0805,2
ZPN-0000157-4,Zelos_Standard:Ferrite,Zelos:INDC1608X10N,MMZ1608B301CTAH0,TDK,"IND,FER,300OHM,0.5A,0603",0R25,0.5A,300R,125°C,-55°C,SMT,0603,2
