ZPN,Symbol,Footprint,MPN,Manufacturer,Description,Converter Type,Conversion Type,Channels,Resolution,Interface Protocol,Supply Voltage,Voltage Reference,Sampling Rate,Propagation Delay,Max Operating Temperature,Min Operating Temperature,Mounting Type,Package,Pin Count
ZPN-0000007-8,Zelos_NonStandard:DAC80508,Zelos:QFN50P300X300X100_RHS-17N,DAC80508,Texas Instruments,"IC,DAC,8-CH,250kHz,SPI,16-WQFN",DAC,R-2R,8,16bits,SPI,2.7V - 5.5V (VDD) / 1.7V - 5.5V (VIO),2.5V (Internal) / 5V Max. (External),,5µs,125°C,-40°C,SMT,16-WFQFN,16
ZPN-0000012-4,Zelos_NonStandard:ADS131M04,Zelos:TSSOP65P640X120-20N,ADS131M04PWR,Texas Instruments,"IC,ADC,4-CH,DELT-SIG,24BITS,64KSPS,SPI,20-TSSOP",ADC,Delta-Sigma,4,24bits,SPI,2.7V-3.6V,1.2V,64ksps,,125°C,-40°C,SMT,20-TSSOP,20
